Time Instants,Lane 1,Lane 2,Lane 3,Lane 4
07:00,11,9,9,7
07:05,14,11,11,9
07:10,16,13,13,10
07:15,20,15,15,12
07:20,24,19,18,13
07:25,25,19,18,13
07:30,26,21,19,13
07:35,28,23,19,14
07:40,28,24,20,15
07:45,29,25,21,15
07:50,30,27,22,15
07:55,32,29,25,16
08:00,32,30,26,16
08:05,35,33,29,17
08:10,38,38,30,18
08:15,40,42,33,20
08:20,44,44,35,21
08:25,47,49,37,24
08:30,49,52,39,27
08:35,52,58,41,30
08:40,54,62,43,31
08:45,56,66,46,33
08:50,56,68,49,35
08:55,58,70,52,37
09:00,58,74,56,38
09:05,60,77,60,39
09:10,63,80,64,42
09:15,64,78,68,45
09:20,68,79,73,49
09:25,67,79,76,53
09:30,67,80,81,57
09:35,69,78,84,61
09:40,70,78,89,66
09:45,69,76,94,70
09:50,70,76,97,72
09:55,70,77,96,77
10:00,68,74,98,79
10:05,71,73,98,84
10:10,71,68,97,85
10:15,69,66,97,87
10:20,67,61,92,88
10:25,65,57,87,90
10:30,63,51,87,91
10:35,61,46,89,89
10:40,59,43,86,89
10:45,56,38,84,86
10:50,55,35,82,85
10:55,52,33,78,82
11:00,52,30,75,79
11:05,50,28,72,77
11:10,46,25,66,74
11:15,43,24,63,71
11:20,42,22,59,67
11:25,38,21,54,63
11:30,35,19,49,59
11:35,34,18,45,54
11:40,31,17,44,51
11:45,31,17,41,47
11:50,32,17,41,45
11:55,31,18,39,41
12:00,32,18,39,39
12:05,31,20,38,36
12:10,32,22,37,37
12:15,32,23,38,37
12:20,32,24,36,34
12:25,30,24,35,34
12:30,28,24,33,32
12:35,27,24,33,31
12:40,26,25,33,31
12:45,26,25,33,31
12:50,25,25,33,28
12:55,24,26,33,27
13:00,24,28,34,28
13:05,24,29,34,28
13:10,25,29,35,29
13:15,24,31,36,29
13:20,25,31,37,31
13:25,24,31,37,33
13:30,26,31,41,35
13:35,26,32,41,38
13:40,27,33,44,40
13:45,27,34,46,42
13:50,27,35,47,43
13:55,28,36,47,45
14:00,27,38,48,47
14:05,27,39,50,49
14:10,27,42,50,51
14:15,27,42,52,53
14:20,27,42,54,56
14:25,28,43,57,59
14:30,30,44,59,63
14:35,33,46,63,67
14:40,37,48,66,70
14:45,38,49,70,78
14:50,41,49,71,80
14:55,45,52,74,87
15:00,48,55,77,89
15:05,51,57,76,95
15:10,55,61,76,97
15:15,59,63,79,101
15:20,63,66,79,104
15:25,68,68,79,101
15:30,72,71,81,106
15:35,72,73,79,105
15:40,77,71,76,106
15:45,81,70,77,106
15:50,80,69,76,104
15:55,78,70,72,104
16:00,76,69,71,102
16:05,74,70,68,104
16:10,75,69,66,99
16:15,76,70,64,96
16:20,73,70,63,94
16:25,71,69,62,87
16:30,70,67,59,85
16:35,68,64,60,80
16:40,68,62,55,75
16:45,64,59,52,69
16:50,60,56,49,67
16:55,56,52,47,62
17:00,51,52,46,59
17:05,47,51,44,58
17:10,44,50,44,56
17:15,41,47,41,51
17:20,38,45,40,49
17:25,36,42,38,44
17:30,33,40,37,40
17:35,30,39,34,37
17:40,30,37,30,33
17:45,28,34,27,29
17:50,26,31,24,25
17:55,25,30,22,24
18:00,23,28,20,21
18:05,23,27,18,19
18:10,21,25,17,18
18:15,20,23,17,17
18:20,19,20,16,15
18:25,18,20,16,15
18:30,17,19,15,14
18:35,16,18,15,14
18:40,15,17,15,14
18:45,13,14,13,13
18:50,10,12,11,11
18:55,9,10,9,9
19:00,10,8,9,8
07:00,12,11,12,11
07:05,15,13,15,13
07:10,18,15,18,16
07:15,20,18,22,18
07:20,21,19,24,19
07:25,23,20,28,20
07:30,24,19,29,21
07:35,27,21,31,23
07:40,29,24,33,25
07:45,30,26,36,26
07:50,33,28,39,27
07:55,36,31,40,31
08:00,38,35,43,33
08:05,39,38,44,36
08:10,40,42,47,39
08:15,41,43,51,40
08:20,44,45,52,43
08:25,47,49,52,47
08:30,50,52,54,50
08:35,52,53,56,53
08:40,55,55,58,56
08:45,57,59,61,59
08:50,61,62,63,62
08:55,63,64,65,68
09:00,66,66,69,70
09:05,67,67,75,75
09:10,69,69,78,77
09:15,69,71,80,78
09:20,71,75,84,78
09:25,72,74,87,77
09:30,72,74,89,75
09:35,75,73,90,75
09:40,76,75,91,76
09:45,77,74,89,72
09:50,74,71,89,71
09:55,75,70,89,71
10:00,72,66,88,75
10:05,72,64,85,74
10:10,70,63,84,76
10:15,68,61,83,74
10:20,65,57,79,73
10:25,64,54,80,70
10:30,64,53,76,67
10:35,63,50,74,65
10:40,62,46,73,60
10:45,60,44,69,57
10:50,60,40,65,55
10:55,56,37,60,50
11:00,54,35,57,46
11:05,49,32,51,44
11:10,46,31,49,43
11:15,43,29,44,41
11:20,40,27,40,38
