Time Instants,Lane 1,Lane 2,Lane 3,Lane 4
07:00,7,9,8,8
07:05,9,10,10,9
07:10,11,13,13,11
07:15,13,15,15,13
07:20,15,18,19,15
07:25,16,18,19,16
07:30,18,18,21,18
07:35,19,18,22,20
07:40,21,19,24,22
07:45,22,20,25,25
07:50,23,21,26,27
07:55,25,23,27,28
08:00,25,23,28,31
08:05,27,25,31,33
08:10,28,28,34,34
08:15,29,30,37,36
08:20,29,32,40,39
08:25,32,34,43,42
08:30,35,36,46,46
08:35,39,37,48,50
08:40,44,39,52,53
08:45,48,40,55,57
08:50,50,42,58,60
08:55,54,44,61,62
09:00,57,48,65,64
09:05,59,52,68,66
09:10,61,53,74,68
09:15,66,56,80,71
09:20,68,59,83,75
09:25,68,61,84,77
09:30,69,65,88,79
09:35,70,68,91,80
09:40,73,67,92,80
09:45,75,66,92,82
09:50,77,70,93,82
09:55,75,71,93,81
10:00,75,72,94,79
10:05,75,71,94,80
10:10,78,69,92,79
10:15,78,67,93,79
10:20,76,67,92,78
10:25,75,66,91,76
10:30,72,62,86,72
10:35,70,61,82,70
10:40,67,60,79,66
10:45,67,59,77,62
10:50,63,56,73,56
10:55,62,55,69,55
11:00,60,53,65,51
11:05,58,52,64,47
11:10,56,50,62,45
11:15,53,48,59,40
11:20,50,43,57,39
11:25,47,41,52,36
11:30,44,39,49,35
11:35,41,37,45,31
11:40,37,34,42,29
11:45,35,33,38,27
11:50,33,32,37,27
11:55,33,32,35,28
12:00,33,33,34,27
12:05,32,31,33,27
12:10,32,32,32,27
12:15,32,32,30,26
12:20,33,32,29,26
12:25,32,31,29,26
12:30,32,30,28,25
12:35,30,29,26,24
12:40,29,29,25,25
12:45,29,29,26,24
12:50,28,28,27,23
12:55,27,27,27,24
13:00,28,27,26,25
13:05,28,27,26,26
13:10,27,28,27,26
13:15,27,28,29,27
13:20,27,27,30,27
13:25,27,29,31,27
13:30,27,31,31,29
13:35,27,33,34,30
13:40,29,34,36,31
13:45,29,35,37,32
13:50,29,36,35,33
13:55,28,37,35,34
14:00,29,38,34,34
14:05,29,39,35,36
14:10,31,40,36,37
14:15,33,41,36,38
14:20,32,44,36,40
14:25,33,46,37,42
14:30,35,47,40,45
14:35,38,51,42,49
14:40,39,54,47,54
14:45,43,56,49,58
14:50,43,59,51,62
14:55,44,59,55,66
15:00,49,61,60,68
15:05,53,63,62,69
15:10,56,66,67,73
15:15,58,65,71,75
15:20,59,66,73,77
15:25,59,69,75,81
15:30,62,71,76,83
15:35,66,75,77,85
15:40,66,74,76,89
15:45,64,75,78,91
15:50,65,74,76,91
15:55,66,74,74,94
16:00,68,74,74,93
16:05,68,74,76,93
16:10,71,69,77,93
16:15,67,67,77,95
16:20,67,67,77,94
16:25,69,66,75,95
16:30,68,66,74,99
16:35,66,65,73,93
16:40,65,63,71,93
16:45,63,59,70,92
16:50,58,57,67,90
16:55,57,55,64,85
17:00,54,51,63,83
17:05,52,48,60,80
17:10,48,45,58,73
17:15,44,41,56,71
17:20,42,38,53,67
17:25,39,36,50,63
17:30,37,35,48,61
17:35,36,32,45,58
17:40,34,31,42,55
17:45,30,30,41,51
17:50,30,29,38,47
17:55,28,27,36,46
18:00,25,25,34,44
18:05,24,24,30,41
18:10,23,23,27,36
18:15,20,22,26,35
18:20,19,20,23,32
18:25,17,19,21,29
18:30,16,18,20,28
18:35,16,17,19,27
18:40,15,17,18,24
18:45,13,14,16,21
18:50,11,12,14,18
18:55,9,10,12,15
