Simulation Time,Iteration,Iteration Delay,Total Delay,vehicles crossed In this iteration,Iteration Average Delay,Overall Average Delay
100,1,58.6,58.6,5,11.72,11.72
200,2,401.8,460.4,13,30.907692307692308,25.577777777777776
300,3,413.1,873.5,13,31.776923076923076,28.177419354838708
400,4,280.8,1154.3,10,28.080000000000002,28.153658536585368
500,5,546.7,1701.0,17,32.15882352941176,29.32758620689655
600,6,467.0,2168.0,15,31.133333333333333,29.6986301369863
700,7,426.2,2594.2,15,28.413333333333334,29.479545454545455
800,8,502.2,3096.4,18,27.9,29.21132075471698
900,9,556.3,3652.7,18,30.905555555555555,29.45725806451613
1000,10,484.5,4137.2,16,30.28125,29.551428571428573
1100,11,773.4,4910.6,24,32.225,29.94268292682927
1200,12,631.8,5542.4,21,30.085714285714282,29.95891891891892
1300,13,620.9,6163.3,19,32.67894736842105,30.212254901960783
1400,14,842.0,7005.3,24,35.08333333333333,30.725
1500,15,863.3,7868.6,25,34.532,31.101185770750988
1600,16,664.9,8533.5,22,30.222727272727276,31.03090909090909
1700,17,796.5,9330.0,25,31.860000000000003,31.1
1800,18,864.9,10194.9,27,32.03333333333333,31.177064220183485
1900,19,650.8,10845.7,23,28.295652173913044,30.987714285714286
2000,20,828.4,11674.1,26,31.861538461538466,31.048138297872338
2100,21,937.7,12611.8,28,33.489285714285714,31.217326732673268
2200,22,770.4,13382.2,24,32.1,31.26682242990654
2300,23,958.0,14340.2,29,33.03448275862069,31.378993435448574
2400,24,944.1,15284.3,29,32.5551724137931,31.449176954732508
2500,25,807.9,16092.2,27,29.922222222222224,31.368810916179335
2600,26,895.4,16987.6,29,30.875862068965517,31.342435424354242
2700,27,1041.9,18029.5,32,32.559375,31.410278745644597
2800,28,789.0,18818.5,27,29.22222222222222,31.31198003327787
2900,29,991.5,19810.0,31,31.983870967741932,31.344936708860757
3000,30,1075.8,20885.8,32,33.61875,31.454518072289158
3100,31,943.4,21829.2,29,32.53103448275862,31.4995670995671
3200,32,1193.0,23022.2,35,34.08571428571428,31.623901098901097
3300,33,1138.8,24161.0,35,32.537142857142854,31.665792922673653
3400,34,936.4,25097.4,32,29.2625,31.569056603773582
3500,35,1053.0,26150.4,34,30.970588235294116,31.54451145958987
3600,36,1205.5,27355.9,37,32.58108108108108,31.588799076212474
3700,37,991.9,28347.8,33,30.057575757575755,31.53259176863181
3800,38,1244.3,29592.1,38,32.74473684210527,31.581750266808967
3900,39,1260.3,30852.4,38,33.16578947368421,31.64348717948718
4000,40,1150.2,32002.6,37,31.086486486486486,31.62312252964427
4100,41,1264.2,33266.8,41,30.834146341463413,31.592402659069325
4200,42,1236.5,34503.3,40,30.9125,31.567520585544372
4300,43,1138.5,35641.8,37,30.77027027027027,31.541415929203538
4400,44,1461.5,37103.3,44,33.21590909090909,31.6041737649063
4500,45,1429.7,38533.0,44,32.49318181818182,31.636288998357962
4600,46,1293.8,39826.8,40,32.345,31.658823529411762
4700,47,1523.5,41350.3,46,33.119565217391305,31.710352760736196
4800,48,1480.5,42830.8,46,32.18478260869565,31.72651851851852
4900,49,1264.7,44095.5,42,30.11190476190476,31.67780172413793
5000,50,1622.6,45718.1,50,32.452,31.704646324549238
5100,51,1516.1,47234.2,48,31.585416666666667,31.700805369127515
5200,52,1399.1,48633.3,46,30.41521739130435,31.6623046875
5300,53,1718.1,50351.4,52,33.04038461538461,31.707430730478592
5400,54,1770.2,52121.6,54,32.781481481481485,31.74275274056029
5500,55,1554.9,53676.5,50,31.098000000000003,31.72369976359338
5600,56,1791.6,55468.1,55,32.57454545454546,31.750486548368634
5700,57,1798.2,57266.3,55,32.694545454545455,31.77930077691454
5800,58,1719.3,58985.6,54,31.838888888888892,31.78103448275862
5900,59,1846.5,60832.1,57,32.39473684210527,31.79932043910089
6000,60,1934.0,62766.1,58,33.3448275862069,31.844799594114665
6100,61,1778.2,64544.3,56,31.753571428571426,31.84227923038974
6200,62,2040.1,66584.4,60,34.001666666666665,31.90436032582655
6300,63,2155.7,68740.1,63,34.21746031746032,31.972139534883723
6400,64,1928.9,70669.0,59,32.69322033898305,31.991398822996832
6500,65,2189.8,72858.8,66,33.17878787878788,32.02584615384615
6600,66,2058.8,74917.6,64,32.16875,32.029756306113725
6700,67,1928.7,76846.3,60,32.144999999999996,32.03263859941642
6800,68,2333.6,79179.9,69,33.82028985507246,32.08261750405187
6900,69,2221.2,81401.1,64,34.70625,32.1489336492891
7000,70,2413.4,83814.5,70,34.47714285714285,32.21156802459647
7100,71,2416.8,86231.3,72,33.56666666666667,32.24805534779357
7200,72,2496.8,88728.1,72,34.67777777777778,32.31176256372906
7300,73,2443.2,91171.3,72,33.93333333333333,32.353193754435765
7400,74,2686.3,93857.6,76,35.34605263157895,32.43178991015895
7500,75,2812.3,96669.9,81,34.71975308641975,32.49408403361345
7600,76,2403.6,99073.5,70,34.33714285714286,32.536453201970446
7700,77,3007.0,102080.5,82,36.670731707317074,32.64486728493764
7800,78,2866.0,104946.5,78,36.743589743589745,32.74461778471139
7900,79,2849.1,107795.6,79,36.06455696202532,32.824482338611446
8000,80,2977.4,110773.0,83,35.87228915662651,32.8996138996139
8100,81,3103.9,113876.9,82,37.85243902439024,33.0173673528559
8200,82,3101.9,116978.8,82,37.828048780487805,33.1290852449731
8300,83,3370.0,120348.8,81,41.60493827160494,33.31915836101883
8400,84,3977.2,124326.0,91,43.70549450549451,33.574399135835804
8500,85,3598.0,127924.0,86,41.837209302325576,33.76194246503035
8600,86,3756.1,131680.1,88,42.68295454545454,33.9644312612845
8700,87,4026.9,135707.0,90,44.74333333333333,34.208974035795315
8800,88,4172.3,139879.3,85,49.08588235294118,34.52105133267522
8900,89,4559.5,144438.8,98,46.525510204081634,34.80453012048193
9000,90,4260.8,148699.6,91,46.82197802197802,35.06239094553171
9100,91,4314.3,153013.9,95,45.41368421052631,35.28918357933579
